Sunday,Identifier,Morning,Unnamed: 3,Unnamed: 4,Evening,Unnamed: 6,Unnamed: 7
,Communion = 1; Prayer = 2,Psalms,First Lesson,Second Lesson,Psalms,First Lesson,Second Lesson
,,,,,,,
SECOND SUNDAY IN LENT ,1,86; 142,*1 Ki. 8:37-43,Col. 3:12-17,26; 119:1-16,"2 Sam. 12:1-10, 13-14",1 Cor. 6:9-20
,2,30; 32,"Ezek. 18:1-4, 25-32",Matt. 5:27-37,31,Hab. 2:1-14,Luke 18:1-8
,,,,,,,
THIRD SUNDAY IN LENT ,1,25,"*Deut. 6:1-9, 20-25",1 Cor. 3,119:113-128,Amos 5:4-15,Gal. 5:16-24
,2,34,"Zech. 1:1-6, 12-17",Mark 8:27-9:1,143; 27,Prov. 4:7-18,Luke 11:29-36
,,,,,,,
FOURTH SUNDAY IN LENT ,2,147,Exod. 16:4-15,John 6:27-40,116,Isa. 55,John 6:41-51
,1,18:1-20,*Ezek. 39:21-29,2 Cor. 3:12-18,46; 122,Prov. 3:1-26,Rev. 3:1-13
,,,,,,,
FIFTH SUNDAY IN LENT ,1,51,*Isa. 1:10-20,1 Pet. 4:12-19,42; 43,Hos. 6:1-6,Heb. 10:1-25
,2,71,Deut. 18:15-22,Luke 20:9-18,40:1-16,Jer. 14:7-21,John 10:17-38
,,,,,,,
SIXTH SUNDAY IN LENT,1,24; 97,*Zech. 9:9-12,Mark 11:1-11,130; 138,"Jer. 8:9-15, 18-9:1",1 Cor. 1:17-31
,2,22,Isa. 52:13-53:12,Matt. 26,77,"Isa. 59:1-3, 9-21 ",John 12:20-36 
,,,,,,,
EASTER DAY,1,93; 111,*Isa. 25:1-9,"Matt. 28:1-10, 16-20",98; 114,Isa. 51:9-16,Luke 24:13-35
,2,57,Exod. 12:1-14,"Rev. 14:1-7, 12-13",118,Isa. 12,John 20:11-23
,,,,,,,
FIRST SUNDAY AFTER EASTER,2,66,Deut. 11:1-15,Rom. 1:1-12,33,Zeph. 3:14-20,John 20:19-30
,1,103,*Isa. 43:1-12 ,Luke 24:36-49,30; 121,2 Ki. 4:18-37 ,Rev. 1:4-18 
,,,,,,,
SECOND SUNDAY ,1,23; 146,*Isa. 40:1-11,John 10:1-18,145,"Ezek. 34:11-16, 30-31",John 21:1-19
AFTER EASTER 34,2,34,Eccl. 9,Phil. 3:7-16,16; 100,Ezek. 20:1-20,1 Cor. 15:12-23
,,,,,,,
THIRD SUNDAY ,2,36:5-end; 138,2 Sam. 12:15b-23,John 14:1-14,68:1-20,"Isa. 26:12-16, 19",2 Cor. 5
AFTER EASTER ,1,113; 124,*1 Sam. 2:1b-10,Acts 2:22-36,115,Neh. 1,Luke 20:27-39
,,,,,,,
FOURTH SUNDAY 116,1,116,*Job 19:21-27a,John 12:44-50,18:1-20,"Dan. 12:1-4, 13",1 Thes. 4:13-18
AFTER EASTER ,2,107:1-16,Ezek. 37:1-14,Acts 3:1-21,27,Isa. 60:13-22,John 8:12-30
,,,,,,,
FIFTH SUNDAY AFTER EASTER,1,65; 67,*Ezek. 34:25-31,Luke 10:38-11:13,147,Isa. 48:12-21,Rev. 5
,2,118,Deut. 28:1-14,"Acts 4:1-13, 33 ",144,Ezek. 36:25-38,Mark 11:22-26
,,,,,,,
SUNDAY AFTER ASCENSION,1,21:1-6; 24,"*Isa. 33:5-6, 17, 20-22",John 17,93; 96,Zeph. 3:8-17,Eph. 1
,2,8; 108,Isa. 4:2-6 ,Heb. 4:14-5:10 ,46; 47,"Isa. 32:1-4, 15-20","John 3:16-21, 31-36"
,,,,,,,
WHITSUNDAY,2,68,Num. 11:16-29,John 4:19-26,104,Ezek. 11:14-20,1 Cor. 2
,1,145,*Joel 2:21-32,Rom. 8:1-17,48; 122,Isa. 11:1-9 ,John 6:53-69 
,,,,,,,
TRINITY SUNDAY,1,29; 99,*Isa. 6:1-8,1 Pet. 1:1-12,98; 100,Exod. 34:1-10,Eph. 4:1-16
,2,33,Gen. 1:1-2:3,John 1:1-18,148; 150,"Job 38:1-11, 16-18; 42:1-6",John 1:29-34
,,,,,,,
FIRST SUNDAY AFTER TRINITY,1,73,*Jer. 23:23-32,"Matt. 7:13-14, 21-29",119:33-48,Deut. 30:11-20,"John 13:1-17, 34-35"
,2,89:1-19,"Isa. 5:8-12, 18-24",Jam. 5,49,Job 21:17-33,Luke 16:19-31
,,,,,,,
SECOND SUNDAY AFTER TRINITY,2,15; 19,Job 31:13-28,1 Cor. 13,112; 113,"1 Sam. 20:1-7, 12-42",1 Pet. 1:17-25
,1,76; 125,*Deut. 20:1-9,Luke 9:57-62,138; 146,2 Ki. 4:8-17,Luke 14:12-24
